rank,alpha,f1,precision,recall,training_time_sec,peak_vram_gb,muc5_COR,muc5_INC,muc5_MIS,muc5_SPU,eLen_short_acc,eLen_long_acc,eCon_consistent_acc,eCon_inconsistent_acc,eFre_few_shot_acc,eFre_many_shot_acc,hidden_entity_recall
4,16,0.7399267399267401,0.7046511627906977,0.7789203084832905,719.4644870758057,1.2332167625427246,303,14,72,113,0.783641160949868,0.6,0.7359550561797753,0.8151658767772512,0.6492537313432836,0.8470588235294118,100.0
4,32,0.7503075030750308,0.7193396226415094,0.7840616966580977,747.2722067832947,1.2342658042907715,305,17,67,102,0.783641160949868,0.8,0.7415730337078652,0.8199052132701422,0.664179104477612,0.8470588235294118,100.0
4,64,0.7555012224938875,0.7202797202797203,0.794344473007712,743.9448585510254,1.2342658042907715,309,14,66,106,0.7941952506596306,0.8,0.7584269662921348,0.8246445497630331,0.6940298507462687,0.8470588235294118,96.875
8,16,0.7261613691931539,0.6923076923076923,0.7634961439588689,743.037270784378,1.2364516258239746,297,15,77,117,0.7651715039577837,0.7,0.7134831460674157,0.8056872037914692,0.6268656716417911,0.8352941176470589,100.0
8,32,0.7404674046740466,0.7099056603773585,0.7737789203084833,738.8283777236938,1.2364516258239746,301,15,73,108,0.7757255936675461,0.7,0.7359550561797753,0.8056872037914692,0.6567164179104478,0.8352941176470589,96.875
8,64,0.7826086956521738,0.7572115384615384,0.8097686375321337,741.8803653717041,1.2364516258239746,315,18,56,83,0.8126649076517151,0.7,0.7921348314606742,0.8246445497630331,0.7089552238805971,0.8627450980392157,100.0
16,16,0.7076167076167076,0.6776470588235294,0.7403598971722365,743.2226204872131,1.2408347129821777,288,17,84,120,0.7440633245382586,0.6,0.6910112359550562,0.7819905213270142,0.5970149253731343,0.8156862745098039,100.0
16,32,0.7481662591687042,0.7132867132867133,0.7866323907455013,751.146192073822,1.2408347129821777,306,13,70,110,0.7889182058047494,0.7,0.7415730337078652,0.8246445497630331,0.664179104477612,0.8509803921568627,100.0
16,64,0.7722772277227724,0.7446300715990454,0.8020565552699229,745.4547116756439,1.2408347129821777,312,14,63,93,0.8047493403693932,0.7,0.7640449438202247,0.8341232227488151,0.6865671641791045,0.8627450980392157,100.0
32,16,0.7315270935960592,0.7021276595744681,0.7634961439588689,749.3833875656128,1.249600887298584,297,14,78,112,0.762532981530343,0.8,0.7303370786516854,0.7914691943127962,0.6492537313432836,0.8235294117647058,100.0
32,32,0.7346437346437347,0.7035294117647058,0.7686375321336761,747.6890995502472,1.249600887298584,299,16,74,110,0.7678100263852242,0.8,0.7191011235955056,0.8104265402843602,0.6268656716417911,0.8431372549019608,100.0
32,64,0.7537313432835823,0.7301204819277108,0.7789203084832905,745.3629519939423,1.249600887298584,303,16,70,96,0.7810026385224275,0.7,0.7303370786516854,0.8199052132701422,0.6417910447761194,0.8509803921568627,100.0
